Name;alias;etage
00-14-S;1;0
00-13-S;2;0
00-11-S;3;0
00-12-S;4;0
00-10-S;5;0
00-08-S;6;0
00-06-S;7;0
00-05-S;8;0
00-04-S;9;0
00-02-S;10;0
00-01-S;11;0
00-51-S;12;0
00-16-S;13;0
00-50-S;14;0
00-49-S;15;0
00-46-S;16;0
00-45-S;17;0
00-41-N;18;0
00-40-N;19;0
00-39-N;20;0
00-38-N;21;0
00-34-N;22;0
00-35-N;23;0
00-36-N;24;0
00-37-N;25;0
00-33-N;26;0
00-32-N;27;0
00-27-N;28;0
00-29-N;29;0
00-28-N;30;0
00-30-N;31;0
00-26-N;32;0
00-25-N;33;0
00-24-N;34;0
00-23-N;35;0
00-22-N;36;0
00-21-N;37;0
00-20-N;38;0
00-18-N;39;0
01-18-S;101;1
01-17-S;102;1
01-16-S;103;1
01-15-S;104;1
01-14-S;105;1
01-12-S;106;1
01-11-S;107;1
01-10-S;108;1
01-08-S;109;1
01-07-S;110;1
01-06-S;111;1
01-05-S;112;1
01-04-S;113;1
01-03-S;114;1
01-02-S;115;1
01-01-S;116;1
01-56-S-1;117;1
01-56-S-2;117;1
01-56-S;117;1
01-55-S-2;118;1
01-55-S;118;1
01-55-S-1;118;1
01-48-N;119;1
01-52-N;120;1
01-51-N;121;1
01-50-N;122;1
01-46-N;123;1
01-49-N;124;1
01-47-N;125;1
01-44-N;126;1
01-45-N;127;1
01-42-N;128;1
01-43-N;129;1
01-41-N;130;1
01-40-N;131;1
01-38-N;132;1
01-39-N;133;1
01-30-N;134;1
01-29-N;135;1
01-27-N;136;1
01-31-N;137;1
01-32-N;138;1
01-33-N;139;1
01-34-N;140;1
01-35-N;141;1
01-36-N;142;1
01-37-N;143;1
01-21-N;144;1
01-20-N;145;1
01-19-N;146;1
02-12-S;201;2
02-11-S;202;2
02-10-S;203;2
02-09-S;204;2
02-08-S;205;2
02-07-S;206;2
02-05-S;207;2
02-03-S;208;2
02-02-S;209;2
02-01-S;210;2
C-02-04-S;211;2
C-02-05-S;212;2
02-14-N;213;2
02-15-N;214;2
02-16-N;215;2
02-17-N;216;2
02-18-N;217;2
02-19-N;218;2
02-20-N;219;2
02-21-N;220;2
02-22-N;221;2
02-23-N;222;2
02-24-N;223;2
02-25-N;224;2
02-26-N;225;2
03-14-S;301;3
03-13-S;302;3
03-12-S;303;3
03-11-S;304;3
03-10-S;305;3
03-08-S;306;3
03-06-S;307;3
03-03-S;308;3
03-01-S;309;3
03-02-S;310;3
03-04-S;311;3
03-05-S;312;3
03-15-S;313;3
03-16-S;314;3
03-17-S;315;3
03-18-N;316;3
03-31-N;317;3
03-30-N;318;3
03-29-N;319;3
03-28-N;320;3
03-27-N;321;3
03-26-N;322;3
03-25-N;323;3
03-24-N;324;3
03-23-N;325;3
03-22-N;326;3
03-21-N;327;3
03-20-N;328;3
03-19-N;329;3
04-01-S;401;4
04-04-S;402;4
04-05-S;403;4
04-06-S;404;4
04-08-S;405;4
04-07-S;406;4
04-09-S;407;4
04-10-S;408;4
04-11-S;409;4
04-12-S;410;4
04-13-S;411;4
04-14-S;412;4
04-15-S;413;4
04-16-S;414;4
04-17-S;415;4
04-19-N;416;4
04-18-N;417;4
04-21-N;418;4
04-20-N;419;4
04-23-N;420;4
04-25-N;421;4
04-22-N;422;4
04-24-N;423;4
04-27-N;424;4
04-26-N;425;4
04-28-N;426;4
04-30-N;427;4
04-33-N;428;4
04-34-N;429;4
04-35-N;430;4
04-36-N;431;4
04-39-N;432;4
04-38-N;433;4
04-37-N;434;4
04-40-N;435;4
04-41-N;436;4
04-42-N;437;4
04-43-N;438;4
04-46-N;439;4
